id,name,description,itemized_description
4096,All the Justice That Remained,"Activates the Entrance Animation (once only), 
reduces damage received by 11% for the rest of battle 
and guards all attacks for 3 turns from the 
character's entry turn when there are another 
2 or more ""Special Pose"" or ""Defenders of Justice"" 
Category allies on the team upon the character's entry; 
ATK & DEF +200%; plus an additional ATK +150% when 
performing a Super Attack; reduces damage received by 20%; 
changes INT Ki Spheres to Rainbow Ki Spheres when 
HP is 50% or more; ""Special Pose"" or ""Defenders of Justice"" 
Category allies' Ki +1 and ATK & DEF +30%; plus an additional 
DEF +50% within the same turn after receiving an attack, 
plus an additional DEF +200% and guards all attacks 
as the 1st attacker in a turn; plus an additional 
ATK & DEF +100% when performing a Super Attack 
as the 2nd or 3rd attacker in a turn","*Activates the Entrance Animation when another 2 or more
""Special Pose"" or ""Defenders of Justice"" Category allies are
on the team*
- {passiveImg:once}{passiveImg:forever}Damage reduction rate 11%{passiveImg:up_g}
- {passiveImg:once}Guards all attacks for 3 turn(s)
*Basic effect(s)*
- ATK & DEF 200%{passiveImg:up_g}
- Damage reduction rate 20%{passiveImg:up_g}
- ""Special Pose"" or ""Defenders of Justice"" Category allies' Ki
+1 and ATK & DEF 30%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK 150%{passiveImg:up_g}
*When HP is 50% or more*
- Changes Ki Spheres: INT to Rainbow
*As the 1st attacker in a turn*
- DEF 200%{passiveImg:up_g}
- Guards all attacks
- DEF 50%{passiveImg:up_g} after receiving an attack
*As the 2nd or 3rd attacker in a turn*
- ATK & DEF 100%{passiveImg:up_g} when attacking with 12 or more Ki"
4097,Determination to Abandon Justice,"Ki +3 and ATK & DEF +300%; plus an additional 
ATK +250% when attacking; plus an additional 
DEF +100% when receiving an attack; 
changes INT Ki Spheres to Rainbow Ki Spheres; 
guards all attacks; reduces damage received by 80% and 
with each attack received, damage reduction rate -8% 
(no more than -60%); nullifies Ki Blast Super Attacks 
directed at the character for 1 turn from 
the character's entry turn and starting from 
the character's next attacking turn, 
high chance of nullifying Ki Blast Super Attacks 
directed at the character","*Basic effect(s)*
- Ki +3 and ATK & DEF 300%{passiveImg:up_g}
- Changes Ki Spheres: INT to Rainbow
- Guards all attacks
- Damage reduction rate 80%{passiveImg:up_g}
*When attacking*
- ATK 250%{passiveImg:up_g}
*When receiving an attack*
- DEF 100%{passiveImg:up_g}
*For every attack received*
- {passiveImg:forever}Damage reduction rate 8%{passiveImg:down_r} (no more than -60%)
*When receiving a Ki Blast Super Attack*
- Nullifies it for 1 turn from the character's entry turn
- High chance of nullifying it starting from the 2nd turn from
the character's entry turn"
4098,Power of the Robot Suit,"Ki +2 and ATK & DEF +150%; changes STR Ki Spheres 
to AGL Ki Spheres at start of turn, plus an additional 
DEF +30% per AGL Ki Sphere obtained (up to 150%) 
and medium chance of evading enemy's attack 
(including Super Attack) on the 1st, 3rd & 5th turns from 
the character's entry turn; changes AGL Ki Spheres 
to STR Ki Spheres at start of turn, plus an additional 
ATK +30% per STR Ki Sphere obtained (up to 150%) 
and high chance of performing a critical hit on the 
2nd, 4th & 6th turns from the character's entry turn; 
plus an additional ATK & DEF +30% 
when performing a Super Attack","*Basic effect(s)*
- Ki +2 and ATK & DEF 150%{passiveImg:up_g}
*On the 1st, 3rd & 5th turns from the character's entry turn*
- Changes Ki Spheres: STR to AGL
- Medium chance of evading enemy's attack
- DEF 30%{passiveImg:up_g} per AGL Ki Sphere obtained (up to 150%)
*On the 2nd, 4th & 6th turns from the character's entry turn*
- Changes Ki Spheres: AGL to STR
- High chance of performing a critical hit
- ATK 30%{passiveImg:up_g} per STR Ki Sphere obtained (up to 150%)
*When attacking with 12 or more Ki*
- ATK & DEF 30%{passiveImg:up_g}"
4099,True Power of the Robot Suit,"Ki +3 and ATK & DEF +300%; changes STR Ki Spheres 
to AGL Ki Spheres at start of turn, plus an additional 
DEF +30% per AGL Ki Sphere obtained (up to 300%), 
launches 2 additional attacks, each of which 
has a high chance of becoming a Super Attack, 
and high chance of evading enemy's attack 
(including Super Attack) on the 1st, 3rd, 5th, 7th & 9th turns 
from the character's entry turn; changes AGL Ki Spheres 
to STR Ki Spheres at start of turn, plus an additional 
ATK +30% per STR Ki Sphere obtained (up to 300%), 
great chance of launching an additional Super Attack and 
great chance of performing a critical hit on the 2nd, 4th, 6th, 
8th & 10th turns from the character's entry turn; plus an 
additional ATK & DEF +33% when performing a Super Attack; 
changes AGL & STR Ki Spheres to TEQ Ki Spheres 
plus an additional ATK & DEF +30% per 
TEQ Ki Sphere obtained (up to 300%) starting from 
the 7th turn from the start of battle (once only)","*Basic effect(s)*
- Ki +3 and ATK & DEF 300%{passiveImg:up_g}
*On the 1st, 3rd, 5th, 7th & 9th turns from the character's
entry turn*
- Changes Ki Spheres: STR to AGL
- Launches 2 additional attacks, each of which has a high
chance of becoming a Super Attack
- High chance of evading enemy's attack
- DEF 30%{passiveImg:up_g} per AGL Ki Sphere obtained (up to 300%)
*On the 2nd, 4th, 6th, 8th & 10th turns from the character's
entry turn*
- Changes Ki Spheres: AGL to STR
- Great chance of launching an additional Super Attack
- Great chance of performing a critical hit
- ATK 30%{passiveImg:up_g} per STR Ki Sphere obtained (up to 300%)
*When attacking with 12 or more Ki*
- ATK & DEF 33%{passiveImg:up_g}
*Starting from the 7th turn from the start of battle*
- {passiveImg:once}Changes Ki Spheres: AGL & STR to TEQ
- ATK & DEF 30%{passiveImg:up_g} per TEQ Ki Sphere obtained (up to 300%)"
4100,The Wolf's Weak Point?!,"Ki +5; plus an additional ATK & DEF +150% when performing 
a Super Attack, plus an additional ATK & DEF +100% 
if it is an Ultra Super Attack; launches an additional attack 
that has a high chance of becoming a Super Attack and 
if there is another ""Joined Forces"" Category ally attacking 
in the same turn, launches another additional attack 
that has a high chance of becoming a Super Attack; 
plus an additional DEF +150% and character will be stunned 
when there is a ""Peppy Gals"" Category enemy; 
plus an additional Ki +3 and ATK +150% and high chance 
of evading enemy's attack (including Super Attack) 
when there are no ""Peppy Gals"" Category enemies","*Basic effect(s)*
- Ki +5
- Launches an additional attack that has a high chance of
becoming a Super Attack
*When attacking with 12 or more Ki*
- ATK & DEF 150%{passiveImg:up_g}
*When attacking with 18 or more Ki*
- ATK & DEF 100%{passiveImg:up_g}
*When there is another ""Joined Forces"" Category ally
attacking in the same turn*
- Launches an additional attack that has a high chance of
becoming a Super Attack
*When there is a ""Peppy Gals"" Category enemy*
- DEF 150%{passiveImg:up_g}
- Character will be stunned
*When there are no ""Peppy Gals"" Category enemies*
- Ki +3 and ATK 150%{passiveImg:up_g}
- High chance of evading enemy's attack"
4101,Power Probe,"ATK & DEF +120%; plus an additional ATK & DEF +60% 
when performing a Super Attack; Ki +1 (up to +4) plus an 
additional ATK +20% (up to 80%) with each attack received; 
high chance of guarding all attacks when there is another 
""Mastered Evolution"" Category ally attacking in the same turn","*Basic effect(s)*
- ATK & DEF 120%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 60%{passiveImg:up_g}
*For every attack received*
- {passiveImg:forever}Ki +1 (up to +4)
- {passiveImg:forever}ATK 20%{passiveImg:up_g} (up to 80%)
*When there is another ""Mastered Evolution"" Category ally
attacking in the same turn*
- High chance of guarding all attacks"
4102,Power Probe,"ATK & DEF +150%; plus an additional ATK & DEF +100% 
when performing a Super Attack; Ki +1 (up to +5) plus an 
additional ATK +20% (up to 100%) with each attack received; 
chance of performing a critical hit +15% with each attack 
received (up to 60%) and great chance of guarding all attacks 
when there is another ""Mastered Evolution"" Category ally 
attacking in the same turn","*Basic effect(s)*
- ATK & DEF 150%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 100%{passiveImg:up_g}
*For every attack received*
- {passiveImg:forever}Ki +1 (up to +5)
- {passiveImg:forever}ATK 20%{passiveImg:up_g} (up to 100%)
*When there is another ""Mastered Evolution"" Category ally
attacking in the same turn*
- Great chance of guarding all attacks
- {passiveImg:forever} Chance of performing a critical hit 15%{passiveImg:up_g} for every
attack received (up to 60%)"
4103,Plethora of Changes,"ATK & DEF +100%; plus an additional ATK +80% 
when performing a Super Attack; 
changes INT Ki Spheres and Ki Spheres of 
another Type to Rainbow Ki Spheres; 
ATK & DEF +30% and recovers 20000 HP 
per Rainbow Ki Sphere obtained; 
reduces damage received by 30% with 
2 or more Rainbow Ki Spheres obtained","*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
- Changes Ki Spheres: INT to Rainbow
- Randomly changes Ki Spheres of a certain Type (INT
excluded) to Rainbow Ki Spheres
*When attacking with 12 or more Ki*
- ATK 80%{passiveImg:up_g}
*For every Rainbow Ki Sphere obtained*
- ATK & DEF 30%{passiveImg:up_g}
- Recovers 20000 HP
*2 or more Rainbow Ki Spheres obtained*
- Damage reduction rate 30%{passiveImg:up_g}"
4104,Plethora of Changes,"ATK & DEF +120%; plus an additional ATK +120% 
when performing a Super Attack; 
changes INT Ki Spheres and Ki Spheres of 
another Type to Rainbow Ki Spheres; 
ATK & DEF +50% and recovers 30000 HP 
per Rainbow Ki Sphere obtained; 
reduces damage received by 50%, 
plus an additional damage reduction of 10% 
per Rainbow Ki Sphere obtained 
(count starts from the 3rd Ki Sphere), 
with 2 or more Rainbow Ki Spheres obtained","*Basic effect(s)*
- ATK & DEF 120%{passiveImg:up_g}
- Changes Ki Spheres: INT to Rainbow
- Randomly changes Ki Spheres of a certain Type (INT
excluded) to Rainbow Ki Spheres
*When attacking with 12 or more Ki*
- ATK 120%{passiveImg:up_g}
*For every Rainbow Ki Sphere obtained*
- ATK & DEF 50%{passiveImg:up_g}
- Recovers 30000 HP
*2 or more Rainbow Ki Spheres obtained*
- Damage reduction rate 50%{passiveImg:up_g}
- An additional damage reduction rate 10%{passiveImg:up_g} per Rainbow
Ki Sphere obtained (count starts from the 3rd Ki Sphere)"
4105,Secretly Punishing Villains,"ATK & DEF +120%; 
plus an additional ATK & DEF +40% 
when performing a Super Attack; 
reduces damage received by 58%; 
Super Class Ki +2 and ATK & DEF +30%; 
attacked enemy's ATK -20% for 1 turn 
when there is an Extreme Class enemy","*Basic effect(s)*
- ATK & DEF 120%{passiveImg:up_g}
- Damage reduction rate 58%{passiveImg:up_g}
- Super Class allies' Ki +2 and ATK & DEF 30%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 40%{passiveImg:up_g}
*When there is an Extreme Class enemy*
- Attacked enemy's ATK 20%{passiveImg:down_y} for 1 turn"
4106,Secretly Punishing Villains,"ATK & DEF +158%; 
plus an additional ATK & DEF +58% 
when performing a Super Attack; 
reduces damage received by 58%; 
Super Class Ki +3 and ATK & DEF +30%; 
plus an additional ATK & DEF +58% 
when there is an Extreme Class enemy; 
attacked enemy's ATK -20% for 2 turns 
when there is an Extreme Class enemy","*Basic effect(s)*
- ATK & DEF 158%{passiveImg:up_g}
- Damage reduction rate 58%{passiveImg:up_g}
- Super Class allies' Ki +3 and ATK & DEF 30%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 58%{passiveImg:up_g}
*When there is an Extreme Class enemy*
- ATK & DEF 58%{passiveImg:up_g}
- Attacked enemy's ATK 20%{passiveImg:down_y} for 2 turn(s)"
4107,Master's Pride,"Ki +1 and ATK & DEF +80%; plus an additional 
DEF +80% when performing a Super Attack; 
ATK +20% (up to 100%) and chance of evading 
enemy's attack (including Super Attack) +10% (up to 50%) 
with each attack received; DEF +20% (up to 100%) 
with each attack evaded (including Super Attack); 
survives K.O. attacks when HP is 20% or more","*Basic effect(s)*
- Ki +1 and ATK & DEF 80%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- DEF 80%{passiveImg:up_g}
*For every attack received*
- {passiveImg:forever}ATK 20%{passiveImg:up_g} (up to 100%)
- {passiveImg:forever}Chance of evading enemy's attack 10%{passiveImg:up_g} (up to 50%)
*For every attack evaded*
- {passiveImg:forever}DEF 20%{passiveImg:up_g} (up to 100%)
*If HP is 20% or more when receiving an attack*
- Survives K.O. attacks (up to once within a turn)"
4108,Master's Pride,"Ki +2 and ATK & DEF +100%; plus an additional 
ATK & DEF +100% when performing a Super Attack; 
rare chance of evading enemy's attack 
(including Super Attack); ATK +30% (up to 150%) 
and chance of evading enemy's attack 
(including Super Attack) +20% (up to 60%) 
with each attack received; DEF +30% (up to 150%) and 
chance of performing a critical hit +20% (up to 60%) 
with each attack evaded (including Super Attack); 
survives K.O. attacks when HP is 10% or more","*Basic effect(s)*
- Ki +2 and ATK & DEF 100%{passiveImg:up_g}
- Rare chance of evading enemy's attack
*When attacking with 12 or more Ki*
- ATK & DEF 100%{passiveImg:up_g}
*For every attack received*
- {passiveImg:forever}ATK 30%{passiveImg:up_g} (up to 150%)
- {passiveImg:forever}Chance of evading enemy's attack 20%{passiveImg:up_g} (up to 60%)
*For every attack evaded*
- {passiveImg:forever}DEF 30%{passiveImg:up_g} (up to 150%)
- {passiveImg:forever}Chance of performing a critical hit 20%{passiveImg:up_g} (up to 60%)
*If HP is 10% or more when receiving an attack*
- Survives K.O. attacks (up to once within a turn)"
4109,Big Power-Up,"Ki +2 and ATK & DEF +200%; plus an additional 
ATK +50% when performing a Super Attack; 
high chance of launching an additional Super Attack; 
high chance of evading enemy's attack 
(including Super Attack); plus an additional chance of 
evading enemy's attack (including Super Attack) +10% 
within the same turn after evading an attack; plus an 
additional DEF +50% when performing a Super Attack 
for 1 turn from the character's entry turn; 
Transforms when conditions are met","*Basic effect(s)*
- Ki +2 and ATK & DEF 200%{passiveImg:up_g}
- High chance of launching an additional Super Attack
- High chance of evading enemy's attack
*When attacking with 12 or more Ki*
- ATK 50%{passiveImg:up_g}
*After evading an attack*
- Chance of evading enemy's attack 10%{passiveImg:up_g}
*For 1 turn from the character's entry turn*
- DEF 50%{passiveImg:up_g} when attacking with 12 or more Ki
*Starting from the 3rd turn from the start of battle*
- Transforms"
